Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
OPERADOR DE PLANTA,3,1334,16008,129,31.25,214,0,374.25
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
SUPERVISOR RCRS,5,3300,39600,275,31.25,0,0,306.25
ASISTENTE ADMINISTRATIVO CAMPO,2,795,9540,66.25,31.25,0,0,97.5
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE PLANTA,3,1334,16008,135.37,31.25,290.42,0,457.04
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN,3,856,10272,71.33,31.25,0,0,102.58
AYUDANTE DE ALMACÉN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
TÉCNICO ELÉCTRICO,3,2039.52,24474.24,290.68,31.25,1448.69,0,1770.62
SUPERVISOR DE INSTRUMENTACIÓN,5,3360,40320,280,31.25,0,0,311.25
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE ISLA ( E ),3,531,6372,45.26,31.25,12.17,484,572.68
AYUDANTE DE PRODUCCIÓN,1,796,9552,71.65,31.25,63.85,0,166.75
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,92.66,31.25,24.91,0,148.82
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE CONSTRUCCIONES,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA DE GENERACIÓN,3,856,10272,77.06,31.25,68.66,0,176.97
TÉCNICO MECÁNICO TORNERO,3,2291.51,27498.12,190.96,31.25,0,0,222.21
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
INGENIERO DE CONFIABILIDAD,5,2470,29640,205.83,31.25,0,0,237.08
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
TÉCNICO ELÉCTRICO (SUBESTACIONES),3,573.81,6885.72,47.82,31.25,0,0,79.07
TÉCNICO DE CONSTRUCCIONES,3,2077.37,24928.44,174.56,31.25,17.31,0,223.12
ABOGADO,4,2677.67,32132.04,223.14,31.25,0,0,254.39
TÉCNICO INSTRUMENTISTA,3,1354,16248,119.42,31.25,78.98,0,229.65
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
INGENIERO DE SOPORTE DE INTEGRIDAD MECÁNICA ( E ),4,607,7284,50.58,31.25,0,892,973.83
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
TÉCNICO DE OPERACIONES,4,1815,21780,174.57,31.25,279.82,0,485.64
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,41.86,31.25,37.3,550,660.41
TÉCNICO MECÁNICO DE OVERHAUL TALLER ( E ),3,885,10620,73.75,31.25,0,130,235
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
ASISTENTE DE OPERACIONES,2,795,9540,66.25,31.25,0,0,97.5
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
ADMINISTRADOR DE INVENTARIO ( E ),3,796,9552,66.33,31.25,0,219,316.58
TÉCNICO DE INTEGRIDAD MECÁNICA ( E ),3,465,5580,38.75,31.25,0,550,620
OPERADOR DE ISLA ( E ),3,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE ALMACÉN,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
TÉCNICO INSTRUMENTISTA ( E ),3,574,6888,47.83,31.25,0,441,520.08
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1204,14448,100.33,31.25,0,0,131.58
BODEGUERO,2,2073.23,24878.76,172.77,31.25,0,0,204.02
OPERADOR DE ISLA,3,1334,16008,129,31.25,214,0,374.25
TÉCNICO RODA,3,1334,16008,132.82,31.25,259.86,0,423.93
GEÓLOGO DE CENTRO DE INVESTIGACIÓN,5,3363,40356,280.25,31.25,0,0,311.5
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
RELACIONADOR COMUNITARIO,4,2098,25176,174.83,31.25,0,0,206.08
SUPERVISOR DE REACONDICIONAMIENTO,5,2953,35436,293.25,31.25,566.02,0,890.52
SUPERVISOR DE REFINERÍA,5,3360,40320,280,31.25,0,0,311.25
OPERADOR DE PLANTA ( E ),3,1087,13044,99.92,31.25,112.1,0,243.27
SUPERVISOR DE PRODUCCIÓN ( E ),5,1334,16008,128.54,31.25,208.44,881,1249.23
SUPERVISOR DE REACONDICIONAMIENTO ( E ),5,2470,29640,219.13,31.25,159.52,17.27,427.17
TÉCNICO INSTRUMENTISTA  ( S ),3,578,6936,48.17,31.25,0,437,516.42
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
TÉCNICO INSTRUMENTISTA ( E ),3,465,5580,39.48,31.25,8.72,550,629.45
ENFERMERA/O,3,2098,25176,174.83,31.25,0,0,206.08
ADMINISTRADOR DE INVENTARIO,3,2229,26748,185.75,31.25,0,0,217
AYUDANTE DE PRODUCCIÓN,1,796,9552,68.61,31.25,27.36,0,127.22
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
OPERADOR DE PLANTA,3,2078.35,24940.2,197.55,31.25,292.27,0,521.07
OPERADOR DE AUTOBOMBA,2,1334,16008,111.17,31.25,0,0,142.42
OPERADOR DE PLANTA ( E ),3,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA,3,1354,16248,121.88,31.25,108.6,0,261.73
TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO,3,573.81,6885.72,47.82,31.25,0,0,79.07
SUPERVISOR CSLB  ( S ),5,2098,25176,174.83,31.25,0,117,323.08
BODEGUERO ( E ),2,1892.89,22714.68,157.74,31.25,0,0,188.99
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
RESERVORISTA,5,2522,30264,210.17,31.25,0,0,241.42
SUPERVISOR DE PERFORACIÓN,5,3360,40320,280,31.25,0,0,311.25
ASISTENTE DE LEVANTAMIENTO ARTIFICIAL ( E ),2,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,67.57,31.25,14.84,0,113.66
AYUDANTE DE ALMACÉN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA ( E ),3,1087,13044,110.31,31.25,236.66,0,378.22
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,105.11,31.25,174.38,0,310.74
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE PRODUCCIÓN,1,1087,13044,95.67,31.25,61.03,0,187.95
COORDINADOR DE LEVANTAMIENTO ARTIFICIAL,5,3739,44868,311.58,31.25,0,0,342.83
OPERADOR DE PLANTA,3,1334,16008,132.94,31.25,261.25,0,425.44
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
SUPERINTENDENTE DE OPERACIONES  ( S ),6,3360,40320,280,31.25,0,1607,1918.25
ESPECIALISTA DE INFRAESTRUCTURA DE TI,4,2277,27324,192.12,31.25,28.46,0,251.83
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
ANALISTA DE CONTROL DE COSTOS,3,2229,26748,185.75,31.25,0,0,217
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,465,5580,38.75,31.25,0,550,620
TÉCNICO MECÁNICO,3,1737.52,20850.24,144.79,31.25,0,0,176.04
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
SUPERVISOR DE SEGURIDAD Y AMBIENTE,5,2470,29640,205.83,31.25,0,0,237.08
TÉCNICO MECÁNICO DE OVERHAUL TALLER ( E ),3,885,10620,73.75,31.25,0,130,235
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,3739.53,44874.36,353.18,31.25,498.6,0,883.03
OPERADOR DE PLANTA,3,1334,16008,121.36,31.25,122.29,0,274.9
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE ISLA,3,1334,16008,114.63,31.25,41.55,0,187.43
OPERADOR DE ISLA ( E ),3,1087,13044,105.11,31.25,174.38,0,310.74
TÉCNICO ELÉCTRICO,3,573.81,6885.72,47.82,31.25,0,0,79.07
OPERADOR DE ISLA ( E ),3,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
SUPERVISOR DE SEIP ( E ),5,573.81,6885.72,47.82,31.25,0,1641.19,1720.26
SUPERVISOR DE PERFORACIÓN,5,2736,32832,228,31.25,0,0,259.25
TÉCNICO INSTRUMENTISTA ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
ADMINISTRADOR DE CAMPO,4,2599,31188,216.58,31.25,0,0,247.83
COORDINADOR DE LEVANTAMIENTO ARTIFICIAL ( E ),5,2470,29640,205.83,31.25,0,483,720.08
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
SUPERVISOR DE SEIP ( E ),5,868,10416,72.33,31.25,0,1347,1450.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE ISLA,3,1334,16008,131.55,31.25,244.57,0,407.37
ANALISTA DE CONTABILIDAD,3,2229,26748,188.07,31.25,27.86,0,247.18
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
SUPERVISOR DE PRODUCCIÓN ( E ),5,885,10620,73.75,31.25,0,1330,1435
OPERADOR DE ISLA ( E ),3,885,10620,82.42,31.25,103.98,130,347.65
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,885,10620,79.67,31.25,70.98,130,311.9
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
SUPERVISOR ADMINISTRATIVO ( E ),6,2012,24144,167.67,31.25,0,203,401.92
ANALISTA DE CONTROL DE COSTOS ( E ),3,885,10620,73.75,31.25,0,130,235
ANALISTA DE CONTROL DE COSTOS ( E ),3,885,10620,73.75,31.25,0,130,235
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
TÉCNICO DE LABORATORIO DE REFINERÍA,3,2229,26748,185.75,31.25,0,0,217
SUPERINTENDENTE DE OPERACIONES,6,4125,49500,343.75,31.25,0,0,375
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.57,0,291.45
OPERADOR DE ISLA,3,2109.37,25312.44,189.88,31.25,169.19,0,390.32
TÉCNICO DE INTEGRIDAD MECÁNICA ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
ADMINISTRADOR DE INVENTARIO,3,2098,25176,174.83,31.25,0,0,206.08
TÉCNICO INSTRUMENTISTA ( E ),3,510,6120,42.5,31.25,0,505,578.75
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,885,10620,85.58,31.25,141.96,130,388.79
OPERADOR DE ISLA ( E ),3,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE ALMACÉN,1,1087,13044,90.58,31.25,0,0,121.83
ANALISTA DE CONTRATOS,3,2229,26748,185.75,31.25,0,0,217
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2599,31188,216.58,31.25,0,0,247.83
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.57,0,291.45
ASISTENTE DE LABORATORIO,2,1156.3,13875.6,96.36,31.25,0,0,127.61
ASISTENTE DE CONTROL DE COSTOS,2,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE ISLA,3,1354,16248,127.06,31.25,170.66,0,328.97
CAPATAZ DE SEGURIDAD Y AMBIENTE ( E ),3,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.57,0,291.45
ESPECIALISTA DE GESTION Y PLANIFICACIÓN ( E ),4,2229,26748,185.75,31.25,0,0,217
OPERADOR DE PLANTA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,2736,32832,228,31.25,0,0,259.25
OPERADOR DE ISLA ( E ),3,1087,13044,99.92,31.25,112.1,0,243.27
TÉCNICO DE INTEGRIDAD MECÁNICA ( E ),3,465,5580,38.75,31.25,0,550,620
TRABAJADORA SOCIAL,4,2012,24144,167.67,31.25,0,0,198.92
OPERADOR DE ISLA ( E ),3,885,10620,87.04,31.25,159.48,130,407.77
AYUDANTE DE MANTENIMIENTO,1,885,10620,77.43,31.25,44.16,0,152.84
ESPECIALISTA DE SEGURIDAD,4,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
ASISTENTE DE ARCHIVO,2,795,9540,66.25,31.25,0,0,97.5
ASISTENTE DE OPERACIONES,2,795,9540,66.25,31.25,0,0,97.5
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE PRODUCCIÓN,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE PLANTA,3,1334,16008,113.71,31.25,30.57,0,175.53
INSPECTOR DE CONSTRUCCIONES,4,2599,31188,216.58,31.25,0,0,247.83
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1204,14448,100.33,31.25,0,0,131.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE PRODUCCIÓN,1,1087,13044,92.66,31.25,24.91,0,148.82
AYUDANTE DE PRODUCCIÓN,1,1087,13044,104.08,31.25,161.92,0,297.25
ASISTENTE DE OPERACIONES,2,795,9540,66.25,31.25,0,0,97.5
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE ALMACÉN (CL),1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE PLANTA,3,1334,16008,129,31.25,214,0,374.25
AYUDANTE DE MANTENIMIENTO,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
TÉCNICO ELÉCTRICO ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE PRODUCCIÓN,1,1087,13044,95.77,31.25,62.28,0,189.3
COORDINADOR DE GESTIÓN DE RIESGOS,5,3000,36000,250,31.25,0,0,281.25
OPERADOR DE ISLA ( E ),3,1087,13044,99.92,31.25,112.1,0,243.27
OPERADOR DE PLANTA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE EQUIPO PESADO ( E ),3,465,5580,38.75,31.25,0,550,620
INGENIERO DE LEVANTAMIENTO ARTIFICIAL ( E ),5,1334,16008,111.17,31.25,0,881,1023.42
TÉCNICO DE LEVANTAMIENTO ARTIFICIAL ( E ),3,1087,13044,90.58,31.25,0,247,368.83
SUPERINTENDENTE DE SEGURIDAD,6,4000,48000,333.33,31.25,0,0,364.58
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
TÉCNICO DE LEVANTAMIENTO ARTIFICIAL ( E ),3,1087,13044,90.58,31.25,0,247,368.83
TÉCNICO DE CONSTRUCCIONES,3,2546.31,30555.72,212.19,31.25,0,0,243.44
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
SUPERVISOR DE CONSTRUCCIONES,5,2470,29640,205.83,31.25,0,0,237.08
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
TÉCNICO ELÉCTRICO (LÍNEAS),3,573.81,6885.72,47.82,31.25,0,0,79.07
SUPERVISOR DE DESPACHO ENERGÉTICO,5,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
BODEGUERO,2,1597,19164,133.08,31.25,0,0,164.33
ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ),2,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
TÉCNICO RODA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
FISCALIZADOR RODA,5,2736,32832,315.4,31.25,1048.8,0,1395.45
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
SUPERVISOR DE REACONDICIONAMIENTO ( E ),5,1815,21780,190.8,31.25,474.59,400,1096.64
TÉCNICO RODA,3,1334,16008,120.08,31.25,107,0,258.33
AYUDANTE DE PRODUCCIÓN,1,1087,13044,105.11,31.25,174.38,0,310.74
TÉCNICO ELÉCTRICO,3,1156,13872,96.33,31.25,0,0,127.58
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE ISLA,3,1334,16008,122.63,31.25,137.57,0,291.45
OPERADOR ELÉCTRICO,3,2193.4,26320.8,242.76,31.25,719.72,0,993.73
AYUDANTE DE CONSTRUCCIONES,1,885,10620,73.75,31.25,0,0,105
INGENIERO DE AUTOMATIZACIÓN ( E ),5,1873,22476,156.08,31.25,0,342,529.33
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,39.23,31.25,5.81,550,626.29
INGENIERO DE CONFIABILIDAD,5,2470,29640,209.26,31.25,41.17,0,281.68
TÉCNICO DE INTEGRIDAD MECÁNICA,3,611,7332,50.92,31.25,0,0,82.17
AYUDANTE DE MANTENIMIENTO,1,885,10620,77.67,31.25,47.01,0,155.93
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1204,14448,100.33,31.25,0,0,131.58
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2736,32832,228,31.25,0,0,259.25
TÉCNICO ELÉCTRICO,3,1156,13872,96.33,31.25,0,0,127.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,67.57,31.25,14.84,0,113.66
ASISTENTE DE OPERACIONES FLUVIALES,2,885,10620,73.75,31.25,0,0,105
SUPERVISOR ELÉCTRICO ( E ),5,465,5580,40.93,31.25,26.11,1750,1848.29
TÉCNICO MECÁNICO,3,1204,14448,100.33,31.25,0,0,131.58
TÉCNICO ELÉCTRICO ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE ISLA,3,1354,16248,124.47,31.25,139.63,0,295.35
COORDINADOR DE CONTRATOS ESPECIALES,5,3739.53,44874.36,311.63,31.25,0,0,342.88
ANALISTA DE CONTROL DE COSTOS,3,2229,26748,185.75,31.25,0,0,217
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.57,0,291.45
OPERADOR DE PLANTA ( E ),3,1087,13044,106.15,31.25,186.84,0,324.24
AYUDANTE DE CONSTRUCCIONES,1,1087,13044,90.58,31.25,0,0,121.83
COORDINADOR GENERAL DE CONTRATOS ESPECIALES ( E ),6,3200,38400,281.69,31.25,0,-142.43,170.51
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE CONSTRUCCIONES,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
SUPERVISOR DE REACONDICIONAMIENTO,5,3739.53,44874.36,314.22,31.25,31.16,0,376.63
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
INGENIERO DE AUTOMATIZACIÓN ( E ),5,1861,22332,155.08,31.25,0,354,540.33
TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ),3,796,9552,66.33,31.25,0,219,316.58
TÉCNICO INSTRUMENTISTA,3,574,6888,51.61,31.25,45.33,0,128.19
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE AUTOBOMBA,2,1334,16008,111.17,31.25,0,0,142.42
TÉCNICO ELÉCTRICO OVERHAUL,3,573.81,6885.72,47.82,31.25,0,0,79.07
ASISTENTE ADMINISTRATIVO CAMPO,2,795,9540,66.25,31.25,0,0,97.5
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
GEÓLOGO,5,3159.99,37919.88,263.33,31.25,0,0,294.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ),2,796,9552,66.33,31.25,0,91,188.58
BODEGUERO,2,794.85,9538.2,66.24,31.25,0,0,97.49
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE REFINERÍA,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE PLANTA DE GENERACIÓN,3,856,10272,71.33,31.25,0,0,102.58
OPERADOR DE PLANTA,3,1334,16008,116.26,31.25,61.14,0,208.65
OPERADOR DE PROCESO CCO,3,1334,16008,123.9,31.25,152.86,0,308.01
SUPERINTENDENTE DE OPERACIONES,6,4967,59604,413.92,31.25,0,0,445.17
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
JEFE DE CAMPO,7,6100,73200,508.33,31.25,0,0,539.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
INGENIERO DE AUTOMATIZACIÓN ( E ),5,1815,21780,151.25,31.25,0,400,582.5
TÉCNICO INSTRUMENTISTA,3,578,6936,48.17,31.25,0,0,79.42
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
BODEGUERO DE COMBUSTIBLE ( E ),2,1087,13044,90.58,31.25,0,0,121.83
ASISTENTE DE LOGÍSTICA,2,1597,19164,133.08,31.25,0,0,164.33
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,1204,14448,100.33,31.25,0,1011,1142.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
ADMINISTRADOR DE INVENTARIO ( E ),3,1597,19164,133.08,31.25,0,0,164.33
INGENIERO DE AUTOMATIZACIÓN ( E ),5,1861,22332,155.08,31.25,0,354,540.33
OPERADOR DE PLANTA,3,1334,16008,117.54,31.25,76.43,0,225.22
AYUDANTE DE PRODUCCIÓN,1,885,10620,78.82,31.25,60.84,0,170.91
ANALISTA DE CONTROL DE COSTOS ( E ),3,885,10620,73.75,31.25,0,130,235
SUPERVISOR DE PLANTA DE GENERACIÓN ( E ),5,1886,22632,161.1,31.25,47.15,329,568.5
CONDUCTOR ADMINISTRATIVO,1,794.85,9538.2,66.24,31.25,0,0,97.49
SUPERVISOR DE CONSTRUCCIONES,5,2599,31188,216.58,31.25,0,0,247.83
INGENIERO DE CONTROL DE QUIMICOS,5,2736,32832,228,31.25,0,0,259.25
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.58,0,291.46
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN,4,1815,21780,151.25,31.25,0,0,182.5
INGENIERO DE INTEGRIDAD MECÁNICA (RODA) ( E ),5,472,5664,39.33,31.25,0,1743,1813.58
